heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,32,10,1,0.0001,1000,150,0.1
monotona,32,10,2,0.0001,1000,150,0.1
monotona,32,10,3,0.0001,1000,150,0.1
monotona,32,10,4,0.0001,1000,150,0.1
monotona,32,10,5,0.0001,1000,150,0.1
monotona,32,10,6,0.0001,1000,150,0.1
monotona,32,10,7,0.0001,1000,150,0.1
monotona,32,10,8,0.0001,1000,150,0.1
monotona,32,10,9,0.0001,1000,150,0.1
monotona,32,10,10,0.0001,1000,150,0.1
monotona,32,10,1,0.0001,1000,150,0.2
monotona,32,10,2,0.0001,1000,150,0.2
monotona,32,10,3,0.0001,1000,150,0.2
monotona,32,10,4,0.0001,1000,150,0.2
monotona,32,10,5,0.0001,1000,150,0.2
monotona,32,10,6,0.0001,1000,150,0.2
monotona,32,10,7,0.0001,1000,150,0.2
monotona,32,10,8,0.0001,1000,150,0.2
monotona,32,10,9,0.0001,1000,150,0.2
monotona,32,10,10,0.0001,1000,150,0.2
monotona,32,10,1,0.0001,1000,150,0.3
monotona,32,10,2,0.0001,1000,150,0.3
monotona,32,10,3,0.0001,1000,150,0.3
monotona,32,10,4,0.0001,1000,150,0.3
monotona,32,10,5,0.0001,1000,150,0.3
monotona,32,10,6,0.0001,1000,150,0.3
monotona,32,10,7,0.0001,1000,150,0.3
monotona,32,10,8,0.0001,1000,150,0.3
monotona,32,10,9,0.0001,1000,150,0.3
monotona,32,10,10,0.0001,1000,150,0.3
monotona,32,10,1,0.0001,1000,150,0.4
monotona,32,10,2,0.0001,1000,150,0.4
monotona,32,10,3,0.0001,1000,150,0.4
monotona,32,10,4,0.0001,1000,150,0.4
monotona,32,10,5,0.0001,1000,150,0.4
monotona,32,10,6,0.0001,1000,150,0.4
monotona,32,10,7,0.0001,1000,150,0.4
monotona,32,10,8,0.0001,1000,150,0.4
monotona,32,10,9,0.0001,1000,150,0.4
monotona,32,10,10,0.0001,1000,150,0.4
monotona,32,10,1,0.0001,1000,150,0.5
monotona,32,10,2,0.0001,1000,150,0.5
monotona,32,10,3,0.0001,1000,150,0.5
monotona,32,10,4,0.0001,1000,150,0.5
monotona,32,10,5,0.0001,1000,150,0.5
monotona,32,10,6,0.0001,1000,150,0.5
monotona,32,10,7,0.0001,1000,150,0.5
monotona,32,10,8,0.0001,1000,150,0.5
monotona,32,10,9,0.0001,1000,150,0.5
monotona,32,10,10,0.0001,1000,150,0.5
monotona,32,10,1,0.0001,1000,150,0.6
monotona,32,10,2,0.0001,1000,150,0.6
monotona,32,10,3,0.0001,1000,150,0.6
monotona,32,10,4,0.0001,1000,150,0.6
monotona,32,10,5,0.0001,1000,150,0.6
monotona,32,10,6,0.0001,1000,150,0.6
monotona,32,10,7,0.0001,1000,150,0.6
monotona,32,10,8,0.0001,1000,150,0.6
monotona,32,10,9,0.0001,1000,150,0.6
monotona,32,10,10,0.0001,1000,150,0.6
monotona,32,10,1,0.0002,1000,150,0.7
monotona,32,10,2,0.0001,1000,150,0.7
monotona,32,10,3,0.0001,1000,150,0.7
monotona,32,10,4,0.0001,1000,150,0.7
monotona,32,10,5,0.0001,1000,150,0.7
monotona,32,10,6,0.0001,1000,150,0.7
monotona,32,10,7,0.0001,1000,150,0.7
monotona,32,10,8,0.0001,1000,150,0.7
monotona,32,10,9,0.0001,1000,150,0.7
monotona,32,10,10,0.0001,1000,150,0.7
monotona,32,10,1,0.0001,1000,150,0.8
monotona,32,10,2,0.0001,1000,150,0.8
monotona,32,10,3,0.0001,1000,150,0.8
monotona,32,10,4,0.0001,1000,150,0.8
monotona,32,10,5,0.0001,1000,150,0.8
monotona,32,10,6,0.0001,1000,150,0.8
monotona,32,10,7,0.0001,1000,150,0.8
