heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,32,10,1,0.0187,54,167,0.80
temperasimulada,32,10,2,0.0000,54,167,0.80
temperasimulada,32,10,3,0.0000,54,167,0.80
temperasimulada,32,10,4,0.0000,54,167,0.80
temperasimulada,32,10,5,0.0000,54,167,0.80
temperasimulada,32,10,6,0.0000,54,167,0.80
temperasimulada,32,10,7,0.0000,54,167,0.80
temperasimulada,32,10,8,0.0000,54,167,0.80
temperasimulada,32,10,9,0.0000,54,167,0.80
temperasimulada,32,10,10,0.0000,54,167,0.80
temperasimulada,32,10,1,0.0000,74,167,0.85
temperasimulada,32,10,2,0.0000,74,167,0.85
temperasimulada,32,10,3,0.0000,74,167,0.85
temperasimulada,32,10,4,0.0000,74,167,0.85
temperasimulada,32,10,5,0.0000,74,167,0.85
temperasimulada,32,10,6,0.0000,74,167,0.85
temperasimulada,32,10,7,0.0000,74,167,0.85
temperasimulada,32,10,8,0.0000,74,167,0.85
temperasimulada,32,10,9,0.0000,74,167,0.85
temperasimulada,32,10,10,0.0000,74,167,0.85
temperasimulada,32,10,1,0.0000,115,167,0.90
temperasimulada,32,10,2,0.0000,115,167,0.90
temperasimulada,32,10,3,0.0000,115,167,0.90
temperasimulada,32,10,4,0.0000,115,167,0.90
temperasimulada,32,10,5,0.0000,115,167,0.90
temperasimulada,32,10,6,0.0000,115,167,0.90
temperasimulada,32,10,7,0.0000,115,167,0.90
temperasimulada,32,10,8,0.0000,115,167,0.90
temperasimulada,32,10,9,0.0000,115,167,0.90
temperasimulada,32,10,10,0.0000,115,167,0.90
temperasimulada,32,10,1,0.0000,235,167,0.95
temperasimulada,32,10,2,0.0000,235,167,0.95
temperasimulada,32,10,3,0.0000,235,167,0.95
temperasimulada,32,10,4,0.0000,235,167,0.95
temperasimulada,32,10,5,0.0000,235,167,0.95
temperasimulada,32,10,6,0.0000,235,167,0.95
temperasimulada,32,10,7,0.0000,235,167,0.95
temperasimulada,32,10,8,0.0000,235,167,0.95
temperasimulada,32,10,9,0.0000,235,167,0.95
temperasimulada,32,10,10,0.0000,235,167,0.95
temperasimulada,32,10,1,0.0001,1000,167,0.99
temperasimulada,32,10,2,0.0001,1000,167,0.99
temperasimulada,32,10,3,0.0001,1000,167,0.99
temperasimulada,32,10,4,0.0001,1000,167,0.99
temperasimulada,32,10,5,0.0001,1000,167,0.99
temperasimulada,32,10,6,0.0001,1000,167,0.99
temperasimulada,32,10,7,0.0001,1000,167,0.99
